time_x,event_name,holiday,date,jalali_date
۱ فروردین,جشن نوروز/جشن سال نو ,1,2018-03-21,1397-01-01
۱ فروردین,شهادت امام علی النقی الهادی علیه السلام [ ٣ رجب ],0,2018-03-21,1397-01-01
۲ فروردین,عیدنوروز ,1,2018-03-22,1397-01-02
۳ فروردین,عیدنوروز ,1,2018-03-23,1397-01-03
۴ فروردین,عیدنوروز ,1,2018-03-24,1397-01-04
۶ فروردین,روز امید، روز شادباش نویسی ,0,2018-03-26,1397-01-06
۶ فروردین,زادروز آشو زرتشت، اَبَراِنسان بزرگ تاریخ ,0,2018-03-26,1397-01-06
۷ فروردین,روز جهانی تئاتر [ 27 March ],0,2018-03-27,1397-01-07
۸ فروردین,ولادت امام محمد تقی علیه السلام [ ١٠ رجب ],0,2018-03-28,1397-01-08
۱۰ فروردین,جشن آبانگاه ,0,2018-03-30,1397-01-10
۱۱ فروردین,ولادت امام علی علیه السلام و روز پدر [ ١٣ رجب ],1,2018-03-31,1397-01-11
۱۲ فروردین,روز جمهوری اسلامی ایران ,1,2018-04-01,1397-01-12
۱۳ فروردین,جشن سیزده به در ,1,2018-04-02,1397-01-13
۱۳ فروردین,وفات حضرت زینب سلام الله علیها [ ١٥ رجب ],0,2018-04-02,1397-01-13
۱۷ فروردین,سروش روز،جشن سروشگان ,0,2018-04-06,1397-01-17
۱۸ فروردین,روز جهانی بهداشت [ 7 April ],0,2018-04-07,1397-01-18
۱۹ فروردین,فروردین روز،جشن فروردینگان ,0,2018-04-08,1397-01-19
۲۳ فروردین,شهادت امام موسی کاظم علیه السلام [ ٢٥ رجب ],0,2018-04-12,1397-01-23
۲۵ فروردین,روز بزرگداشت عطار نیشابوری ,0,2018-04-14,1397-01-25
۲۵ فروردین,مبعث رسول اکرم [ ٢٧ رجب ],1,2018-04-14,1397-01-25
۲۹ فروردین,روز ارتش جمهوری اسلامی ایران ,0,2018-04-18,1397-01-29
۳۱ فروردین,ولادت سالار شهیدان، امام حسین علیه السلام و روز پاسدار [ ٣ شعبان ],0,2018-04-20,1397-01-31
۱ اردیبهشت,روز بزرگداشت سعدی ,0,2018-04-21,1397-02-01
۱ اردیبهشت,ولادت ابوالفضل العباس علیه السلام و روز جانباز [ ٤ شعبان ],0,2018-04-21,1397-02-01
۲ اردیبهشت,جشن گیاه آوری؛روز زمین پاک [ 22 April ],0,2018-04-22,1397-02-02
۲ اردیبهشت,ولادت امام زین العابدین علیه السلام [ ٥ شعبان ],0,2018-04-22,1397-02-02
۳ اردیبهشت,روزبزرگداشت شیخ بهایی؛ روزملی کارآفرینی ,0,2018-04-23,1397-02-03
۸ اردیبهشت,ولادت علی اکبر علیه السلام و روز جوان [ ١١ شعبان ],0,2018-04-28,1397-02-08
۹ اردیبهشت,روزشوراها ,0,2018-04-29,1397-02-09
۹ اردیبهشت,روز جهانی روانشناس و مشاور ,0,2018-04-29,1397-02-09
۱۰ اردیبهشت,جشن چهلم نوروز؛ روزملی خلیج فارس ,0,2018-04-30,1397-02-10
۱۱ اردیبهشت,روزجهانی کارگر [ 1 May ],0,2018-05-01,1397-02-11
۱۲ اردیبهشت,شهادت استاد مرتضی مطهری، روزمعلم ,0,2018-05-02,1397-02-12
۱۲ اردیبهشت,ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان [ ١٥ شعبان ],1,2018-05-02,1397-02-12
۱۵ اردیبهشت,جشن میانه بهار/جشن بهاربد؛ روز شیراز ,0,2018-05-05,1397-02-15
۱۵ اردیبهشت,روز جهانی ماما [ 5 May ],0,2018-05-05,1397-02-15
۱۷ اردیبهشت,روز اسنادملی و میراث مکتوب ,0,2018-05-07,1397-02-17
۱۸ اردیبهشت,روز جهانی صلیب سرخ و هلال احمر [ 8 May ],0,2018-05-08,1397-02-18
۲۵ اردیبهشت,روز بزرگداشت فردوسی ,0,2018-05-15,1397-02-25
۲۷ اردیبهشت,روز ارتباطات و روابط عمومی ,0,2018-05-17,1397-02-27
۲۸ اردیبهشت,روز بزرگداشت حکیم عمر خیام ,0,2018-05-18,1397-02-28
۲۸ اردیبهشت,روز جهانی موزه و میراث فرهنگی [ 18 May ],0,2018-05-18,1397-02-28
۱ خرداد,روز بهره وری و بهینه سازی مصرف ,0,2018-05-22,1397-03-01
۱ خرداد,روز بزرگداشت ملاصدرا ,0,2018-05-22,1397-03-01
